class,layer,change_rate,type,rank
"sea slug, nudibranch",6,-0.5143360948562616,least_critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",9,-2.774987527057528,critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",8,-1.6207490754127507,critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",10,-1.118010153618802,critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",2,0.9906366872787471,least_critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",3,0.4245680236816405,least_critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",5,-0.3062263059616086,least_critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",9,-3.689784838422202,critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1,-2.421524085998536,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",8,-1.8608532381057739,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",3,0.5625077152252196,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,0.5071018981933602,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",5,0.046463747024535706,least_critical,3
"black stork, Ciconia nigra",10,-1.812674114033289,critical,1
"black stork, Ciconia nigra",8,-1.727399442195892,critical,2
"black stork, Ciconia nigra",9,-1.39305604878813,critical,3
"black stork, Ciconia nigra",2,0.7451487350463859,least_critical,1
"black stork, Ciconia nigra",5,0.5864240980148319,least_critical,2
"black stork, Ciconia nigra",1,0.4663608837127686,least_critical,3
"king penguin, Aptenodytes patagonica",9,-3.3622778719011692,critical,1
"king penguin, Aptenodytes patagonica",8,-2.2406997418403627,critical,2
"king penguin, Aptenodytes patagonica",7,-1.0746651887893677,critical,3
"king penguin, Aptenodytes patagonica",1,2.2190272426605224,least_critical,1
"king penguin, Aptenodytes patagonica",11,-0.1052690670292122,least_critical,2
"king penguin, Aptenodytes patagonica",6,-0.3059849596023563,least_critical,3
"albatross, mollymawk",9,-2.6329570056870577,critical,1
"albatross, mollymawk",10,-2.013909086952335,critical,2
"albatross, mollymawk",6,-0.9379101848602298,critical,3
"albatross, mollymawk",1,0.09303550720214737,least_critical,1
"albatross, mollymawk",5,-0.11645508766174295,least_critical,2
"albatross, mollymawk",4,-0.5609773063659667,least_critical,3
"dugong, Dugong dugon",9,-1.8106907056551425,critical,1
"dugong, Dugong dugon",1,-1.308726491928101,critical,2
"dugong, Dugong dugon",6,-0.8361195278167726,critical,3
"dugong, Dugong dugon",3,-0.04244272232055657,least_critical,1
"dugong, Dugong dugon",11,-0.27511093263310615,least_critical,2
"dugong, Dugong dugon",5,-0.28619145393371603,least_critical,3
Chihuahua,10,-1.7249935737653868,critical,1
Chihuahua,9,-1.3517245525121688,critical,2
Chihuahua,4,-1.317893891334534,critical,3
Chihuahua,1,1.1460946464538582,least_critical,1
Chihuahua,2,0.5135019302368162,least_critical,2
Chihuahua,5,0.023153786659240616,least_critical,3
Yorkshire terrier,9,-2.3029375975229778,critical,1
Yorkshire terrier,4,-1.2949259757995604,critical,2
Yorkshire terrier,8,-1.1430529737472535,critical,3
Yorkshire terrier,1,2.1667083883285523,least_critical,1
Yorkshire terrier,2,0.06267709732055593,least_critical,2
Yorkshire terrier,5,0.04095380783081026,least_critical,3
golden retriever,9,-2.3313229790108743,critical,1
golden retriever,10,-1.5013444157103186,critical,2
golden retriever,7,-1.107251081466675,critical,3
golden retriever,3,0.7308936309814449,least_critical,1
golden retriever,2,0.25346685409545877,least_critical,2
golden retriever,6,0.03214741230010976,least_critical,3
Labrador retriever,10,-2.3411012050035334,critical,1
Labrador retriever,9,-1.3581100817024705,critical,2
Labrador retriever,8,-1.076741006374359,critical,3
Labrador retriever,2,0.5627058792114266,least_critical,1
Labrador retriever,3,0.2738483095169064,least_critical,2
Labrador retriever,1,-0.007371325492859349,least_critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",9,-3.6567001144587996,critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",10,-1.7898627866504828,critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",8,-1.3247929835319523,critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",6,0.24604928970336992,least_critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",1,0.22970363616943423,least_critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",7,-0.008079609870910609,least_critical,3
standard poodle,9,-2.072514883354306,critical,1
standard poodle,8,-1.4377500128746035,critical,2
standard poodle,10,-1.0297935067889192,critical,3
standard poodle,5,0.24955895900726333,least_critical,1
standard poodle,3,0.18483887195587112,least_critical,2
standard poodle,6,-0.1937187004089358,least_critical,3
"tabby, tabby cat",9,-2.3802816680818797,critical,1
"tabby, tabby cat",8,-1.6810117220878595,critical,2
"tabby, tabby cat",10,-1.2706196056208865,critical,3
"tabby, tabby cat",3,0.26996858596801765,least_critical,1
"tabby, tabby cat",6,0.2609702968597416,least_critical,2
"tabby, tabby cat",5,-0.09567224502563487,least_critical,3
Persian cat,9,-2.0725235393550245,critical,1
Persian cat,8,-1.04105272769928,critical,2
Persian cat,7,-0.9295131063461302,critical,3
Persian cat,2,0.2382764577865606,least_critical,1
Persian cat,3,-0.07225161552429249,least_critical,2
Persian cat,6,-0.07480127811431903,least_critical,3
Egyptian cat,9,-2.0336677263025194,critical,1
Egyptian cat,8,-1.5293340516090397,critical,2
Egyptian cat,10,-1.4916299750935285,critical,3
Egyptian cat,3,0.33293987751007137,least_critical,1
Egyptian cat,6,0.13019470214843754,least_critical,2
Egyptian cat,1,-0.09870454788207983,least_critical,3
