class,layer,change_rate,type,rank
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",22,0.007385440950092748,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",20,0.006432961831105777,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1,-inf,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,-inf,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",4,-inf,least_critical,3
"black stork, Ciconia nigra",23,0.7997478518762549,critical,1
"black stork, Ciconia nigra",22,0.009566398729043742,critical,2
"black stork, Ciconia nigra",21,0.00043972148383644163,critical,3
"black stork, Ciconia nigra",2,-inf,least_critical,1
"black stork, Ciconia nigra",4,-inf,least_critical,2
"black stork, Ciconia nigra",5,-inf,least_critical,3
"king penguin, Aptenodytes patagonica",22,0.40636800186791877,critical,1
"king penguin, Aptenodytes patagonica",23,0.3348803219943939,critical,2
"king penguin, Aptenodytes patagonica",21,0.000251854534661288,critical,3
"king penguin, Aptenodytes patagonica",2,-inf,least_critical,1
"king penguin, Aptenodytes patagonica",5,-inf,least_critical,2
"king penguin, Aptenodytes patagonica",7,-inf,least_critical,3
"albatross, mollymawk",23,0.6163599560078001,critical,1
"albatross, mollymawk",22,0.08726180511541314,critical,2
"albatross, mollymawk",20,0.05858110198591022,critical,3
"albatross, mollymawk",2,-inf,least_critical,1
"albatross, mollymawk",4,-inf,least_critical,2
"albatross, mollymawk",5,-inf,least_critical,3
"dugong, Dugong dugon",23,0.5779394529946148,critical,1
"dugong, Dugong dugon",22,0.29643740093568344,critical,2
"dugong, Dugong dugon",20,0.03470412304566707,critical,3
"dugong, Dugong dugon",2,-inf,least_critical,1
"dugong, Dugong dugon",6,-inf,least_critical,2
"dugong, Dugong dugon",7,-inf,least_critical,3
Chihuahua,23,0.26300423807784684,critical,1
Chihuahua,22,0.16326978898752714,critical,2
Chihuahua,20,0.00933567176864016,critical,3
Chihuahua,1,-inf,least_critical,1
Chihuahua,3,-inf,least_critical,2
Chihuahua,4,-inf,least_critical,3
Yorkshire terrier,23,0.4946422361992153,critical,1
Yorkshire terrier,22,0.18806912866108183,critical,2
Yorkshire terrier,21,0.08086006685782195,critical,3
Yorkshire terrier,3,-inf,least_critical,1
Yorkshire terrier,5,-inf,least_critical,2
Yorkshire terrier,7,-inf,least_critical,3
golden retriever,23,0.45804257389158015,critical,1
golden retriever,22,0.12090141287655573,critical,2
golden retriever,20,0.02261087436101661,critical,3
golden retriever,2,-inf,least_critical,1
golden retriever,5,-inf,least_critical,2
golden retriever,9,-inf,least_critical,3
Labrador retriever,23,0.20201026833557992,critical,1
Labrador retriever,22,0.13395322969619886,critical,2
Labrador retriever,21,0.028537521894322723,critical,3
Labrador retriever,2,-inf,least_critical,1
Labrador retriever,5,-inf,least_critical,2
Labrador retriever,8,-inf,least_critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",23,0.7257713865934057,critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",22,0.10331072435133308,critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",21,0.00025947726614729586,critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",2,-inf,least_critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",7,-inf,least_critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",11,-inf,least_critical,3
standard poodle,23,0.4851405249674872,critical,1
standard poodle,22,0.10757630539272217,critical,2
standard poodle,21,0.008012576841006178,critical,3
standard poodle,2,-inf,least_critical,1
standard poodle,4,-inf,least_critical,2
standard poodle,5,-inf,least_critical,3
"tabby, tabby cat",22,0.22961378941079608,critical,1
"tabby, tabby cat",20,0.08891715894787924,critical,2
"tabby, tabby cat",19,0.014656591698731054,critical,3
"tabby, tabby cat",1,-inf,least_critical,1
"tabby, tabby cat",2,-inf,least_critical,2
"tabby, tabby cat",5,-inf,least_critical,3
Persian cat,22,0.2683112979242833,critical,1
Persian cat,23,0.2104031706104615,critical,2
Persian cat,20,0.10596375717217599,critical,3
Persian cat,2,-inf,least_critical,1
Persian cat,7,-inf,least_critical,2
Persian cat,12,-inf,least_critical,3
Egyptian cat,23,0.29388991271131093,critical,1
Egyptian cat,22,0.21687336705741472,critical,2
Egyptian cat,20,0.04236120713512264,critical,3
Egyptian cat,7,-inf,least_critical,1
Egyptian cat,9,-inf,least_critical,2
Egyptian cat,14,-inf,least_critical,3
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",23,0.5317607022602351,critical,1
