class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,0.012818075418472286,0.0040128585340596075
"goldfish, Carassius auratus",2,0.009859815835952766,0.004453898167837016
"goldfish, Carassius auratus",3,0.006944583654403686,0.0028879605103168224
"goldfish, Carassius auratus",4,0.009687916636466985,0.004611976618376813
"goldfish, Carassius auratus",5,0.012862413525581365,0.005960744838146797
"goldfish, Carassius auratus",6,-0.0029720854759216295,0.005629689437740678
"goldfish, Carassius auratus",7,0.014293888211250305,0.006339909148102577
"goldfish, Carassius auratus",8,0.016482347249984743,0.006676874221961728
"goldfish, Carassius auratus",9,0.016726893186569218,0.010397651096657233
"goldfish, Carassius auratus",10,-0.01821609973907471,0.014846298410505616
"goldfish, Carassius auratus",11,0.020848976373672487,0.010106324007945078
"goldfish, Carassius auratus",12,0.003451400995254519,0.012553153136111838
"goldfish, Carassius auratus",13,0.003942664265632629,0.01398808038908268
"goldfish, Carassius auratus",14,0.03258577346801758,0.010492790675773767
"goldfish, Carassius auratus",15,0.033935465812683106,0.009694581841388593
"goldfish, Carassius auratus",16,0.022430564165115355,0.011769091520014619
"goldfish, Carassius auratus",17,0.05094192981719971,0.010803534572666182
"goldfish, Carassius auratus",18,0.020952332019805908,0.009061921289950807
"goldfish, Carassius auratus",19,0.02520375370979309,0.01211497332769855
"goldfish, Carassius auratus",20,0.03506071925163269,0.014638840483376157
"goldfish, Carassius auratus",21,0.05052766561508179,0.010045304392407776
"goldfish, Carassius auratus",22,0.05801480174064636,0.013286985623690562
"goldfish, Carassius auratus",23,0.10221316814422607,0.016489404974123604
"European fire salamander, Salamandra salamandra",1,0.011654403805732728,0.0038450104935960554
"European fire salamander, Salamandra salamandra",2,0.018281059265136724,0.004743760725288215
"European fire salamander, Salamandra salamandra",3,0.004911979436874391,0.0036640237805221974
"European fire salamander, Salamandra salamandra",4,0.0011388349533081,0.006482988659655479
"European fire salamander, Salamandra salamandra",5,0.00638193309307099,0.005606257426785871
"European fire salamander, Salamandra salamandra",6,0.011381793022155761,0.004748044586666838
"European fire salamander, Salamandra salamandra",7,0.012462826371192937,0.004496099027179555
"European fire salamander, Salamandra salamandra",8,0.007665281891822823,0.007854234093834745
"European fire salamander, Salamandra salamandra",9,0.019237080216407784,0.007970098058719026
"European fire salamander, Salamandra salamandra",10,-0.004101206660270688,0.009407058734547783
"European fire salamander, Salamandra salamandra",11,0.0036915111541748024,0.011419830721485393
"European fire salamander, Salamandra salamandra",12,0.0044127184152603135,0.011729431177359109
"European fire salamander, Salamandra salamandra",13,0.0009039169549942028,0.012112384357558393
"European fire salamander, Salamandra salamandra",14,0.02563924193382263,0.009842988527176843
"European fire salamander, Salamandra salamandra",15,0.030687706470489504,0.008548366733382107
"European fire salamander, Salamandra salamandra",16,0.016730471849441528,0.009520251074983816
"European fire salamander, Salamandra salamandra",17,0.050871081352233886,0.010978062830914816
"European fire salamander, Salamandra salamandra",18,0.028813680410385133,0.00823267580408122
"European fire salamander, Salamandra salamandra",19,0.03913293600082397,0.008229362587215796
"European fire salamander, Salamandra salamandra",20,0.046205416917800904,0.014399728718708888
"European fire salamander, Salamandra salamandra",21,0.048684866428375245,0.009805982044727216
"European fire salamander, Salamandra salamandra",22,0.06424891829490662,0.016922336784830586
"European fire salamander, Salamandra salamandra",23,0.1263518214225769,0.012590566508981998
"bullfrog, Rana catesbeiana",1,0.008056365847587578,0.003690947928027975
"bullfrog, Rana catesbeiana",2,0.020932976603508,0.005587083897433032
"bullfrog, Rana catesbeiana",3,0.007193374633789068,0.0028429786249845965
"bullfrog, Rana catesbeiana",4,0.006832177042961115,0.004470703189582439
"bullfrog, Rana catesbeiana",5,0.012454666495323199,0.00600535136994882
"bullfrog, Rana catesbeiana",6,0.004688826203346247,0.00649198456386902
"bullfrog, Rana catesbeiana",7,0.011522430777549749,0.005132819466502984
"bullfrog, Rana catesbeiana",8,0.011765006780624395,0.006813769319529055
"bullfrog, Rana catesbeiana",9,0.021696942448616027,0.010041584735812972
"bullfrog, Rana catesbeiana",10,-0.005298528671264648,0.011214187522503964
"bullfrog, Rana catesbeiana",11,0.0047831183671951305,0.011488378091934185
"bullfrog, Rana catesbeiana",12,0.016853175163269042,0.009743534492872949
"bullfrog, Rana catesbeiana",13,-0.004034130573272705,0.01252912318365401
"bullfrog, Rana catesbeiana",14,0.02515627324581146,0.011639288566253361
"bullfrog, Rana catesbeiana",15,0.03673509955406189,0.00939306572617872
"bullfrog, Rana catesbeiana",16,0.018727596998214722,0.010357158662777451
"bullfrog, Rana catesbeiana",17,0.052244360446929934,0.00996016402763189
"bullfrog, Rana catesbeiana",18,0.023690062761306762,0.008850880369459161
"bullfrog, Rana catesbeiana",19,0.033012152910232545,0.007930081552304348
"bullfrog, Rana catesbeiana",20,0.03552175641059876,0.014796161252596538
"bullfrog, Rana catesbeiana",21,0.05302401304244995,0.009279117287137931
"bullfrog, Rana catesbeiana",22,0.04990818381309509,0.014351248882396774
"bullfrog, Rana catesbeiana",23,0.1199552869796753,0.01408462327582446
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,0.009872391223907467,0.004358177367424156
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,0.018974536657333375,0.005009467376051455
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,0.006179698705673214,0.0028261385383188766
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,0.0064489310979843235,0.0054041488357401725
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,0.011405011415481567,0.005018450239585423
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,0.0028877246379852227,0.005244779917197113
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,0.01450915634632112,0.003998899619571718
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,0.011081671118736272,0.007858605247253334
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.019615704417228704,0.008654303602710736
