Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23
Image_11,0.39592528343200684,0.40915772318840027,0.41477757692337036,0.4296439290046692,0.4400405287742615,0.4551248252391815,0.45771804451942444,0.4806148111820221,0.5120929479598999,0.524101197719574,0.5271451473236084,0.5720148682594299,0.5773994326591492,0.5836241841316223,0.6102248430252075,0.6423129439353943,0.6555315852165222,0.69818514585495,0.7061473727226257,0.7261329293251038,0.7662954330444336,0.8381461501121521,0.8743777871131897,1.0
Image_12,0.46971777081489563,0.4830324649810791,0.49558162689208984,0.5064017176628113,0.5210747122764587,0.5361827611923218,0.5263317227363586,0.542685329914093,0.5554970502853394,0.5673543214797974,0.5364936590194702,0.5679899454116821,0.5655671954154968,0.5590808987617493,0.5884739756584167,0.634182870388031,0.6404426097869873,0.6983335018157959,0.7143210172653198,0.7422578930854797,0.7760710120201111,0.8183636665344238,0.8842509984970093,1.0000001192092896
Image_13,0.4579245448112488,0.4738718569278717,0.4858793020248413,0.49718281626701355,0.5106603503227234,0.5265082120895386,0.5223730802536011,0.5406355857849121,0.5645954608917236,0.5782429575920105,0.578614354133606,0.6017923355102539,0.6072848439216614,0.6079102754592896,0.6269298791885376,0.6622498631477356,0.6656234860420227,0.7073877453804016,0.7246941328048706,0.7506353259086609,0.7632008790969849,0.8108301162719727,0.8858144879341125,1.0
Image_14,0.45692679286003113,0.4776145815849304,0.4869297742843628,0.49643832445144653,0.5063095092773438,0.5230458974838257,0.5139157176017761,0.5264204144477844,0.5507914423942566,0.5567267537117004,0.5415054559707642,0.5601852536201477,0.5724927186965942,0.5889156460762024,0.6218967437744141,0.6486727595329285,0.6715414524078369,0.7238556742668152,0.7321115136146545,0.7556324601173401,0.791797935962677,0.8303756713867188,0.8846631050109863,1.0
Image_15,0.4224894940853119,0.4286353588104248,0.4322342276573181,0.4451408386230469,0.4553481638431549,0.46504920721054077,0.4689028859138489,0.4831048250198364,0.5097694993019104,0.520649790763855,0.5077086091041565,0.5322746634483337,0.5446913838386536,0.5520968437194824,0.5746241211891174,0.5979529619216919,0.6310909986495972,0.6921362280845642,0.7194251418113708,0.7386486530303955,0.7568528056144714,0.8141314387321472,0.8726953268051147,1.0
Image_16,0.46443334221839905,0.47003933787345886,0.4812161922454834,0.48726993799209595,0.48865512013435364,0.5014137625694275,0.5054630041122437,0.5236309766769409,0.5370795130729675,0.556236207485199,0.5472046732902527,0.5755744576454163,0.5709435343742371,0.5724133253097534,0.6054194569587708,0.6244173049926758,0.6631786823272705,0.7110036015510559,0.7292793989181519,0.7554659247398376,0.7952621579170227,0.8461921811103821,0.8996247053146362,0.9999999403953552
Image_17,0.44883882999420166,0.46010613441467285,0.47671419382095337,0.486062228679657,0.4973441958427429,0.5081740617752075,0.5061436295509338,0.5199248194694519,0.541187584400177,0.5619795322418213,0.5486647486686707,0.5624667406082153,0.5890783071517944,0.5883021950721741,0.5997070670127869,0.6279812455177307,0.645519495010376,0.7148594856262207,0.7301928400993347,0.7517255544662476,0.7906551957130432,0.847521185874939,0.9124096035957336,1.0000001192092896
Image_18,0.42637699842453003,0.43663647770881653,0.45077404379844666,0.45784762501716614,0.4656706154346466,0.47616100311279297,0.4773327112197876,0.49947530031204224,0.5122590065002441,0.5227598547935486,0.49760448932647705,0.5226951241493225,0.5483798384666443,0.5537447929382324,0.5907900929450989,0.6097191572189331,0.6470881104469299,0.6971748471260071,0.7086129188537598,0.7184070348739624,0.7479410171508789,0.8106566667556763,0.8673896193504333,1.000000238418579
Image_19,0.47745969891548157,0.4934753477573395,0.4943687319755554,0.5025579333305359,0.5160170197486877,0.53411465883255,0.5366383790969849,0.5657926797866821,0.5830276608467102,0.6026941537857056,0.6114121079444885,0.6356254816055298,0.6399441361427307,0.6328601241111755,0.6610898971557617,0.6936675906181335,0.7105293273925781,0.7508301138877869,0.7689881324768066,0.7591587901115417,0.7826557755470276,0.8278982639312744,0.8964056372642517,1.0000001192092896
Image_20,0.4166885018348694,0.4346025586128235,0.436186283826828,0.44899123907089233,0.46339890360832214,0.47311633825302124,0.4705348610877991,0.4810612201690674,0.49733686447143555,0.5053028464317322,0.47653546929359436,0.48040634393692017,0.5061982870101929,0.5312560200691223,0.5677545070648193,0.5920643210411072,0.6349009871482849,0.6880365014076233,0.7081665992736816,0.7388835549354553,0.7858394384384155,0.8389325141906738,0.8873180150985718,1.0
