Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_11,-0.029359545558691025,-0.03781617805361748,-0.045694708824157715,-0.020497210323810577,0.014280654489994049,0.0712849497795105,0.11980825662612915,0.18485139310359955,0.34164154529571533,0.654805064201355,0.8601515889167786,0.9500434398651123
Image_12,-0.006219193339347839,0.02710934728384018,0.02679283171892166,0.03081430494785309,0.0671255961060524,0.12627802789211273,0.1729259043931961,0.2337646633386612,0.3852069079875946,0.6902334690093994,0.8743689656257629,0.9366956949234009
Image_13,-0.02346136048436165,-0.021509312093257904,-0.02529744803905487,-0.013778753578662872,0.01834573596715927,0.07030317932367325,0.1178104504942894,0.19041262567043304,0.3300926685333252,0.641000509262085,0.8487063050270081,0.950171947479248
Image_14,0.023000191897153854,0.033130303025245667,0.03591550886631012,0.05138421058654785,0.09246514737606049,0.156777486205101,0.2021104097366333,0.2718624770641327,0.4347922205924988,0.7596834301948547,0.8886300921440125,0.9143929481506348
Image_15,-0.02055225893855095,-0.002691030502319336,0.003242775797843933,0.017182111740112305,0.060525014996528625,0.10421343147754669,0.15082310140132904,0.21224844455718994,0.3593512177467346,0.681370198726654,0.8491659760475159,0.9210501909255981
Image_16,0.001188855618238449,0.012799236923456192,0.048464782536029816,0.06695893406867981,0.11026960611343384,0.16072583198547363,0.1914609968662262,0.25372159481048584,0.4440077841281891,0.7553999423980713,0.8732529878616333,0.918481707572937
Image_17,0.0070012882351875305,0.0042433962225914,-0.004835724830627441,-0.0016501471400260925,0.03113996982574463,0.06910256296396255,0.11202224344015121,0.1764015406370163,0.3103691339492798,0.6335242390632629,0.8658615946769714,0.9439257979393005
Image_18,-0.04040169715881348,-0.016771316528320312,-0.013287238776683807,-0.0036348775029182434,0.03487823158502579,0.09438484907150269,0.14085468649864197,0.21628893911838531,0.3699851632118225,0.6634626388549805,0.8333025574684143,0.9332218766212463
Image_19,-0.06145190820097923,-0.0075536444783210754,-0.0058134496212005615,0.011493019759654999,0.054804727435112,0.09971316158771515,0.16133159399032593,0.21316955983638763,0.35428351163864136,0.6810406446456909,0.8819375038146973,0.9318104386329651
Image_20,0.019448475912213326,0.07131340354681015,0.07638414204120636,0.09483025968074799,0.13319618999958038,0.2019573599100113,0.2400539368391037,0.30869239568710327,0.4566102623939514,0.7711090445518494,0.9048106670379639,0.9211585521697998
Image_21,0.015043996274471283,0.043046317994594574,0.05594493821263313,0.06799768656492233,0.09806013107299805,0.15658096969127655,0.19691205024719238,0.27290233969688416,0.4135749340057373,0.7366358041763306,0.8797168135643005,0.9228129982948303
Image_22,0.029384426772594452,0.007048375904560089,0.013606101274490356,0.021570399403572083,0.047422170639038086,0.10101930797100067,0.14498217403888702,0.22939011454582214,0.39909082651138306,0.690422773361206,0.8710897564888,0.9418818950653076
Image_23,-0.01288292184472084,0.022497668862342834,0.029724467545747757,0.03223913908004761,0.05752159655094147,0.10977118462324142,0.1652151644229889,0.23212134838104248,0.3724621534347534,0.7328685522079468,0.8754702806472778,0.9060503244400024
Image_24,0.003099750727415085,-0.00377446785569191,-0.009854964911937714,-0.01005321741104126,0.021630756556987762,0.0793837383389473,0.11789879947900772,0.1809980571269989,0.32311466336250305,0.6952571868896484,0.8876506090164185,0.9445896744728088
Image_25,0.04160861670970917,0.06890740245580673,0.06838136166334152,0.07412750273942947,0.10849273949861526,0.18840143084526062,0.2333362102508545,0.3117821514606476,0.4698609709739685,0.772108793258667,0.9136879444122314,0.9393429756164551
Image_26,0.011842407286167145,0.005259223282337189,0.03254770487546921,0.04784053564071655,0.08300693333148956,0.15572229027748108,0.19522243738174438,0.2728036344051361,0.45137128233909607,0.7849259376525879,0.8978661298751831,0.9177584648132324
Image_27,0.018756359815597534,0.023151785135269165,0.017198622226715088,0.018375054001808167,0.042485445737838745,0.09721817076206207,0.14537489414215088,0.2104245275259018,0.35993659496307373,0.6934188604354858,0.8576157093048096,0.938951313495636
Image_28,-0.0005348101258277893,-0.0003042370080947876,0.004734419286251068,0.010905817151069641,0.03847557306289673,0.09277542680501938,0.12997230887413025,0.1967989206314087,0.3232213854789734,0.6671692132949829,0.8683497309684753,0.9568564295768738
Image_29,0.04380772262811661,0.053432613611221313,0.07823634147644043,0.09656092524528503,0.12131765484809875,0.16356274485588074,0.19887076318264008,0.2584184408187866,0.40033382177352905,0.734231173992157,0.8854748010635376,0.8727250099182129
Image_30,-0.013696365058422089,0.014873452484607697,0.014236055314540863,0.029742948710918427,0.06589214503765106,0.1258302479982376,0.17471501231193542,0.2392163872718811,0.39908307790756226,0.6920168399810791,0.8435211181640625,0.9104890823364258
Image_31,0.032966338098049164,0.060756370425224304,0.07648507505655289,0.08434877544641495,0.10115347057580948,0.14213600754737854,0.18210819363594055,0.24746060371398926,0.3946612477302551,0.7388483881950378,0.899381697177887,0.9206531643867493
Image_32,0.009468801319599152,0.01061377301812172,-0.0008347928524017334,0.005284398794174194,0.052931055426597595,0.10510411858558655,0.14199981093406677,0.20475679636001587,0.3694913685321808,0.6622231006622314,0.8597936630249023,0.9402276873588562
Image_33,0.03348594158887863,0.03733125329017639,0.05289726331830025,0.0630527064204216,0.10495069622993469,0.15370623767375946,0.19824212789535522,0.2616966664791107,0.40763717889785767,0.6950002908706665,0.8655210137367249,0.9312841892242432
Image_34,-0.00045188330113887787,0.042598024010658264,0.045354947447776794,0.06227077916264534,0.09442431479692459,0.13965025544166565,0.18299251794815063,0.2439694106578827,0.4050455093383789,0.7422970533370972,0.8751316070556641,0.8887042999267578
Image_35,-0.03933687135577202,-0.014124982059001923,0.004145771265029907,0.019104748964309692,0.04741494357585907,0.1075911819934845,0.1577846258878708,0.23640203475952148,0.4302036762237549,0.7452454566955566,0.8674002885818481,0.9076108336448669
Image_36,0.016635078936815262,0.015986308455467224,0.026976268738508224,0.06372752785682678,0.09520766884088516,0.14188559353351593,0.18896260857582092,0.24891826510429382,0.41482892632484436,0.7344489693641663,0.861015260219574,0.9183655977249146
