class,layer,change_rate,type,rank
"goldfish, Carassius auratus",11,0.6905747614915054,critical,1
"goldfish, Carassius auratus",10,5.6930429552704e-06,critical,2
"goldfish, Carassius auratus",6,2.366110017693046e-08,critical,3
"goldfish, Carassius auratus",2,-inf,least_critical,1
"goldfish, Carassius auratus",5,-inf,least_critical,2
"goldfish, Carassius auratus",7,-inf,least_critical,3
"European fire salamander, Salamandra salamandra",11,0.7529382493684946,critical,1
"European fire salamander, Salamandra salamandra",10,9.993541811414986e-07,critical,2
"European fire salamander, Salamandra salamandra",9,2.0465981178663382e-08,critical,3
"European fire salamander, Salamandra salamandra",1,-inf,least_critical,1
"European fire salamander, Salamandra salamandra",8,-inf,least_critical,2
"European fire salamander, Salamandra salamandra",2,2.8501115356682783e-12,least_critical,3
"bullfrog, Rana catesbeiana",11,0.31567971107493126,critical,1
"bullfrog, Rana catesbeiana",10,7.819415742004747e-05,critical,2
"bullfrog, Rana catesbeiana",6,1.970769327499511e-06,critical,3
"bullfrog, Rana catesbeiana",5,-inf,least_critical,1
"bullfrog, Rana catesbeiana",7,-inf,least_critical,2
"bullfrog, Rana catesbeiana",8,-inf,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.5434593454993524,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,0.00014502330863022558,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,6.0260628083597116e-06,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-inf,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,-inf,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,-inf,least_critical,3
"American alligator, Alligator mississipiensis",11,0.40461803323414985,critical,1
"American alligator, Alligator mississipiensis",10,1.7508064447468998e-06,critical,2
"American alligator, Alligator mississipiensis",9,1.0579064930738015e-07,critical,3
"American alligator, Alligator mississipiensis",1,-inf,least_critical,1
"American alligator, Alligator mississipiensis",2,-inf,least_critical,2
"American alligator, Alligator mississipiensis",7,-inf,least_critical,3
"boa constrictor, Constrictor constrictor",11,0.27717773183132527,critical,1
"boa constrictor, Constrictor constrictor",10,0.009154494340182277,critical,2
"boa constrictor, Constrictor constrictor",6,0.0009788215212756636,critical,3
"boa constrictor, Constrictor constrictor",2,-inf,least_critical,1
"boa constrictor, Constrictor constrictor",3,-inf,least_critical,2
"boa constrictor, Constrictor constrictor",7,-inf,least_critical,3
trilobite,11,0.2501938239493757,critical,1
trilobite,10,0.00045488964147806743,critical,2
trilobite,1,0.00026665456913178604,critical,3
trilobite,2,-inf,least_critical,1
trilobite,3,-inf,least_critical,2
trilobite,6,-inf,least_critical,3
scorpion,11,0.10803838338702917,critical,1
scorpion,10,0.014252870464697488,critical,2
scorpion,9,0.007241670968942345,critical,3
scorpion,1,-inf,least_critical,1
scorpion,4,-inf,least_critical,2
scorpion,5,-inf,least_critical,3
"black widow, Latrodectus mactans",11,0.518521418596613,critical,1
"black widow, Latrodectus mactans",10,9.39721992798681e-08,critical,2
"black widow, Latrodectus mactans",9,3.0605263690031135e-09,critical,3
"black widow, Latrodectus mactans",1,-inf,least_critical,1
"black widow, Latrodectus mactans",5,-inf,least_critical,2
"black widow, Latrodectus mactans",7,-inf,least_critical,3
tarantula,11,0.5117815908824196,critical,1
tarantula,10,0.00010349142943593675,critical,2
tarantula,6,1.5072460823830623e-05,critical,3
tarantula,2,-inf,least_critical,1
tarantula,3,-inf,least_critical,2
tarantula,7,-inf,least_critical,3
centipede,11,0.1570261986530386,critical,1
centipede,10,0.0041562322760000815,critical,2
centipede,5,0.0032797074085101465,critical,3
centipede,2,-inf,least_critical,1
centipede,3,-inf,least_critical,2
centipede,6,-inf,least_critical,3
goose,11,0.19932776370551442,critical,1
goose,10,0.042195757506415243,critical,2
goose,3,0.004316416811197999,critical,3
goose,1,-inf,least_critical,1
goose,2,-inf,least_critical,2
goose,4,-inf,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,0.5737366489725252,critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,4.068669225204681e-05,critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,8.157262774943775e-07,critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,-inf,least_critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",5,-inf,least_critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",7,-inf,least_critical,3
jellyfish,11,0.3754975174331412,critical,1
jellyfish,10,0.0005623573311185857,critical,2
jellyfish,3,3.5748076115828305e-05,critical,3
jellyfish,1,-inf,least_critical,1
jellyfish,5,-inf,least_critical,2
jellyfish,7,-inf,least_critical,3
brain coral,11,0.43841861862302267,critical,1
brain coral,10,1.0124140567384118e-05,critical,2
brain coral,9,2.0730082447073526e-07,critical,3
brain coral,2,-inf,least_critical,1
brain coral,8,-inf,least_critical,2
brain coral,3,1.6970303562402476e-09,least_critical,3
snail,11,0.3698923199286219,critical,1
snail,10,0.002379307742230597,critical,2
snail,5,0.0005475089955143562,critical,3
snail,2,-inf,least_critical,1
snail,7,-inf,least_critical,2
snail,8,-inf,least_critical,3
slug,11,0.10577900471223985,critical,1
slug,10,0.0010329727001953894,critical,2
slug,3,0.0007703306619078008,critical,3
slug,1,-inf,least_critical,1
slug,2,-inf,least_critical,2
slug,5,-inf,least_critical,3
"sea slug, nudibranch",11,0.2791198845751791,critical,1
"sea slug, nudibranch",10,2.0441679893878904e-06,critical,2
"sea slug, nudibranch",9,1.5523676828443912e-08,critical,3
"sea slug, nudibranch",2,-inf,least_critical,1
"sea slug, nudibranch",7,-inf,least_critical,2
"sea slug, nudibranch",3,3.143712498654416e-11,least_critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",11,0.3523643351648512,critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",10,5.549342894184406e-07,critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",6,2.801647926986561e-08,critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",1,-inf,least_critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",2,-inf,least_critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",3,-inf,least_critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",11,0.12272187202039045,critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",10,9.625589272275192e-06,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",5,1.6016009863051292e-06,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,-inf,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",3,-inf,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",6,-inf,least_critical,3
"black stork, Ciconia nigra",11,0.633660197147447,critical,1
"black stork, Ciconia nigra",10,5.666307140583804e-07,critical,2
"black stork, Ciconia nigra",9,4.510326591100622e-09,critical,3
"black stork, Ciconia nigra",1,-inf,least_critical,1
"black stork, Ciconia nigra",2,1.6628508483357285e-11,least_critical,2
"black stork, Ciconia nigra",3,3.736156113653965e-11,least_critical,3
"king penguin, Aptenodytes patagonica",11,0.7944967432890181,critical,1
"king penguin, Aptenodytes patagonica",10,5.8379486357715296e-05,critical,2
"king penguin, Aptenodytes patagonica",9,4.260755996909893e-08,critical,3
"king penguin, Aptenodytes patagonica",1,-inf,least_critical,1
"king penguin, Aptenodytes patagonica",5,-inf,least_critical,2
"king penguin, Aptenodytes patagonica",2,2.977572544082818e-10,least_critical,3
"albatross, mollymawk",11,0.33191955930717093,critical,1
"albatross, mollymawk",10,0.0013942633439000965,critical,2
"albatross, mollymawk",3,0.00024255753320176,critical,3
"albatross, mollymawk",1,-inf,least_critical,1
"albatross, mollymawk",2,-inf,least_critical,2
"albatross, mollymawk",5,-inf,least_critical,3
"dugong, Dugong dugon",11,0.7158844112946463,critical,1
"dugong, Dugong dugon",10,0.001887188695818583,critical,2
"dugong, Dugong dugon",8,2.1126439050929528e-05,critical,3
"dugong, Dugong dugon",1,-inf,least_critical,1
"dugong, Dugong dugon",6,-inf,least_critical,2
