class,layer,change_rate_avg,change_rate_std
scorpion,10,-0.4120991373062134,0.11531127130286156
scorpion,11,-2.619114580154419,0.3922112522892492
"black widow, Latrodectus mactans",1,-0.0041707229614257905,0.05171713277825279
"black widow, Latrodectus mactans",2,-0.131295428276062,0.04575706784670449
"black widow, Latrodectus mactans",3,0.02068507194519044,0.038583492898069005
"black widow, Latrodectus mactans",4,-0.13751813888549808,0.05311270199645011
"black widow, Latrodectus mactans",5,-0.05960050582885741,0.05704559806319301
"black widow, Latrodectus mactans",6,-0.2721654224395752,0.122504461961123
"black widow, Latrodectus mactans",7,0.1578764295578003,0.11753906532091231
"black widow, Latrodectus mactans",8,-0.08807260513305665,0.07455227914341138
"black widow, Latrodectus mactans",9,0.17278564929962162,0.09826879194838976
"black widow, Latrodectus mactans",10,-0.4568655204772949,0.15706742725389328
"black widow, Latrodectus mactans",11,-2.873406720161438,0.5044684825751923
tarantula,1,-0.013604245185852024,0.05889890841696323
tarantula,2,-0.11829400062561035,0.05547535218419131
tarantula,3,0.018463172912597647,0.051742970691862705
tarantula,4,-0.15455563545227047,0.04261113004910983
tarantula,5,-0.046723513603210476,0.05461552514156484
tarantula,6,-0.1894628000259399,0.1301648940437627
tarantula,7,0.0750160217285156,0.0931375733399287
tarantula,8,-0.10494006156921387,0.09754224820630045
tarantula,9,0.12512290954589844,0.12282089774128778
tarantula,10,-0.5026342654228211,0.1831979131933689
tarantula,11,-2.772480742931366,0.5812323822777276
centipede,1,-0.005380263328552264,0.06035572660718082
centipede,2,-0.10463027000427245,0.05290936962550064
centipede,3,0.00966501235961915,0.0515895771654903
centipede,4,-0.14899243354797365,0.06132844476362655
centipede,5,-0.06774663925170898,0.05613345799219739
centipede,6,-0.21253223419189454,0.1296367298970219
centipede,7,0.08287070274353027,0.10176432384441422
centipede,8,-0.09953754901885986,0.09283509252979524
centipede,9,0.1681303834915161,0.11392698181820822
centipede,10,-0.36210654020309446,0.18224196845143686
centipede,11,-2.5893265271186827,0.40691538796940063
goose,1,-0.009685544967651368,0.05297157032631447
goose,2,-0.049511966705322236,0.05352836306404421
goose,3,0.0353406763076782,0.04286693858391787
goose,4,-0.1558448553085327,0.043913145981604465
goose,5,0.016935720443725596,0.05343920611781502
goose,6,-0.1879757213592529,0.08281663114441906
goose,7,0.017997155189514134,0.08779721424799104
goose,8,-0.11338237762451175,0.09436741144549542
goose,9,0.18365615844726565,0.0796077846992569
goose,10,-0.36992438077926637,0.18451326596820372
goose,11,-2.6908597207069396,0.3627714000080197
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1,-0.040642876625061025,0.05437111406288572
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2,-0.08534534454345703,0.04202583113708298
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,-0.009301204681396476,0.028961886718790474
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",4,-0.16261975288391117,0.06591045516672112
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",5,-0.04795599937438966,0.05115568462752016
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,-0.2029155445098877,0.10724500971853035
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",7,-0.010502820014953586,0.05976986317440791
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8,-0.1288851547241211,0.08512441384927864
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,0.1751434898376465,0.09300845820859792
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,-0.4621847581863403,0.16191899316859748
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,-2.909618411064148,0.48620853542536047
jellyfish,1,0.033884649276733396,0.04844166081359554
jellyfish,2,-0.14030957698822022,0.04918617338290359
jellyfish,3,-0.01910563945770261,0.04147443369720937
jellyfish,4,-0.13780349254608154,0.059856000859889326
jellyfish,5,-0.03419692993164063,0.06727771245501357
jellyfish,6,-0.16765929698944093,0.07209733048312078
jellyfish,7,0.08884325504302977,0.09786610001434093
jellyfish,8,-0.06865227222442627,0.09896751534106822
jellyfish,9,0.1830890130996704,0.1396290399363007
jellyfish,10,-0.5190391111373901,0.17901394845821658
jellyfish,11,-2.7115692281723023,0.4546623537450413
brain coral,1,0.01913935661315927,0.05329741421683996
brain coral,2,-0.11059341907501226,0.044391564978223025
brain coral,3,-0.012836384773254376,0.053157349981073104
brain coral,4,-0.20286158084869385,0.07275065602289886
brain coral,5,-0.014184594154357901,0.06755396406405857
brain coral,6,-0.13946693897247314,0.10048238695437978
brain coral,7,0.045274825096130386,0.11833281778760425
brain coral,8,-0.1348336887359619,0.10181584696876807
brain coral,9,0.1089368677139282,0.09690542013176986
brain coral,10,-0.38598199367523195,0.10852941717235984
brain coral,11,-2.7649062967300413,0.357477400039826
snail,1,0.027770080566406223,0.05098904477620986
snail,2,-0.11932793140411377,0.045494874957528506
snail,3,-0.027145223617553692,0.036994714593136475
snail,4,-0.13332036495208738,0.05575322765975368
snail,5,-0.03580722808837893,0.06172214365502694
snail,6,-0.17688604354858398,0.10467037786653392
snail,7,0.03984408855438236,0.09711273349697619
snail,8,-0.10419074535369875,0.08364608067377385
snail,9,0.18310643672943117,0.1033009898267307
snail,10,-0.3268383359909058,0.128883874980453
snail,11,-2.8313304471969603,0.4377715444924932
slug,1,-0.00316300868988038,0.049015448329920004
slug,2,-0.10152333259582516,0.04997878926223042
slug,3,-0.017638373374938992,0.034288687148401845
slug,4,-0.1452837038040161,0.04378155288240206
slug,5,-0.04125280857086182,0.04656149491315781
slug,6,-0.1942745590209961,0.10483768923169266
slug,7,0.04896061420440673,0.08913077539975661
slug,8,-0.11232504844665528,0.07455450026960679
slug,9,0.1847347927093506,0.08478756169452585
slug,10,-0.34696375608444213,0.09960026306509276
slug,11,-2.6782949709892274,0.37892048598549044
"sea slug, nudibranch",1,0.03783873558044434,0.045876439430125995
"sea slug, nudibranch",2,-0.11980196952819824,0.038398592414422325
"sea slug, nudibranch",3,-0.035882782936096216,0.03941191539631098
"sea slug, nudibranch",4,-0.13528216838836665,0.050993506255818555
"sea slug, nudibranch",5,-0.034689130783081105,0.0684057959619259
"sea slug, nudibranch",6,-0.13376862049102778,0.10593589076052155
"sea slug, nudibranch",7,0.0780717325210571,0.09156587166436754
"sea slug, nudibranch",8,-0.10971781253814694,0.08145579191547664
"sea slug, nudibranch",9,0.11437046527862547,0.09567317718904282
"sea slug, nudibranch",10,-0.3208456444740295,0.1276435032080894
"sea slug, nudibranch",11,-2.660494692325592,0.41531389115206524
"American lobster, Northern lobster, Maine lobster, Homarus americanus",1,-0.00965243339538567,0.06787000693002997
"American lobster, Northern lobster, Maine lobster, Homarus americanus",2,-0.15653617382049562,0.048346086411492954
"American lobster, Northern lobster, Maine lobster, Homarus americanus",3,-0.0053024578094482515,0.04907618585135007
"American lobster, Northern lobster, Maine lobster, Homarus americanus",4,-0.21018418788909912,0.11070175743350798
"American lobster, Northern lobster, Maine lobster, Homarus americanus",5,-0.07358979701995852,0.07681042708272551
"American lobster, Northern lobster, Maine lobster, Homarus americanus",6,-0.06922629356384276,0.10812996027714829
"American lobster, Northern lobster, Maine lobster, Homarus americanus",7,0.07746653556823731,0.08874782476188894
"American lobster, Northern lobster, Maine lobster, Homarus americanus",8,-0.14841835975646972,0.09397378562231953
"American lobster, Northern lobster, Maine lobster, Homarus americanus",9,0.1925355863571167,0.09148018848053927
"American lobster, Northern lobster, Maine lobster, Homarus americanus",10,-0.42880528450012206,0.22526791262164797
"American lobster, Northern lobster, Maine lobster, Homarus americanus",11,-3.194191784858704,0.6489512502761549
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1,0.015807805061340295,0.0345677103184847
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,-0.11227420806884765,0.040088801508843905
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",3,-0.00406111717224122,0.031959683132080904
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",4,-0.14429888725280762,0.05699673380972509
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",5,-0.01322032451629636,0.05542496784874224
